sep=	
Date	Previp	Ip	Country	City	State	Browser	Platform	Useragent	Bot	Isp
"18.09.2022 16:15:38"	unknown	42.104.158.43	India	Mumbai	Maharashtra	"Chrome [98.0]"	"Android [10]"	"Mozilla/5.0 (Linux; Android 10; Redmi Note 7S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Safari/537.36"	0	"Vodafone India Ltd"
"18.09.2022 16:13:55"	unknown	27.63.214.23	India	Kolkata	"West Bengal"	"Vivo Browser [5.9]"	"Android [8.1]"	"Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820 Build/O11019; wv) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36 VivoBrowser/5.9.3.81"	0	"Bharti Airtel Limited"
